txid,shopper_id,amount,shopper_country,issuer_country,shopper_email,creation_date,card_number_hash,txvariantcode,bin,currency,fraud,fraud_description
601,74,9843,RO,RO,frederic_garris@sky.com,19/10/2016 06:15 AM,8702765eaacb8e125b,visastandarddebit,203189,EUR,5,Multiple transactions coming from high risk countries
602,321,3426,MP,IN,agatha.march@verizon.net,19/10/2016 08:18 AM,b5c864f8bb3b64e3c0,amex_applepay,422779,NOK,2, Multiple cards for one shopper where Issuer Country differs from Shopper Country.
603,18,98231,UA,CV,marceleneshearer@live.nl,19/10/2016 08:37 AM,924cec165983bb686d,visabusiness,629029,NOK,1,High amount (>5000 EUR) where Issuer Country differs from Shopper Country and Shopper Country is high risk country. 
604,321,133686,MP,PM,agatha.march@verizon.net,19/10/2016 08:56 AM,d77dff1ba76cc09def,mc_samsungpay,786880,GBP,2, Multiple cards for one shopper where Issuer Country differs from Shopper Country.
605,10,87,TJ,CX,luna.lambert@protonmail.com,19/10/2016 09:07 AM,92bfdedfee44a8b96b,visapurchasing,735043,EUR,2, Multiple cards for one shopper where Issuer Country differs from Shopper Country.
606,333,990,CZ,UA,tiera_vela@sky.com,19/10/2016 11:00 AM,2cb033c81dc92fd208,bcmc_mobile,760054,USD,0,no fraud
607,241,82,AF,AF,janessasaunders@cox.net,19/10/2016 11:11 AM,000aca4e77caf6a23a,visa_samsungpay,241124,USD,0,no fraud
608,176,7075,MU,MU,phuong-hickey@earthlink.net,19/10/2016 11:14 AM,02a9a53bca65a4ebba,visastandardcredit,225395,CNY,0,no fraud
609,323,6049,SE,SE,juliuslandrum@sky.com,19/10/2016 02:14 PM,b29419e2af0aec5a9f,bcmc_mobile,386234,NOK,0,no fraud
610,361,35582,TT,TT,koreycutler@rediffmail.com,19/10/2016 02:23 PM,59895cd5278bc5ba70,mccommercialcredit,138376,GBP,0,no fraud
611,344,5859,PM,ZW,reuben.presley@verizon.net,19/10/2016 02:36 PM,e9e6a27b8180335d12,mc_samsungpay,975478,USD,0,no fraud
612,221,107328,SV,SV,pamelagreen@sky.com,19/10/2016 05:05 PM,27d70d030b0e8aa5b1,visa_applepay,579774,EUR,0,no fraud
613,225,71927,MF,AI,tai.bottoms@bellsouth.net,19/10/2016 05:16 PM,b0e37bf93df5eff3f6,mcdebit,177149,USD,0,no fraud
614,83,58,SJ,AM,francisca-moniz@hotmail.com,19/10/2016 05:31 PM,468dbe23b59937a9ea,mcatm,986866,GBP,0,no fraud
615,214,6246,FK,FK,terrilyn.teal@protonmail.com,19/10/2016 05:33 PM,e076c082c59a4a4435,visafleetdebit,458697,EUR,0,no fraud
616,384,102,VC,VC,andra_zeller@verizon.net,19/10/2016 06:34 PM,1dadc7c94e376c20de,visagold,147897,AUD,0,no fraud
617,277,8820,BE,BE,lutherclarke@comcast.net,19/10/2016 08:14 PM,f565b986e1bcdb26bd,visacorporatedebit,502572,GBP,0,no fraud
